Indicator,Variable,Coef,StdError,t,P,R2_test,RMSE_test,N_test
Eutrophication Potential - EP,(Intercept),0.0009867342047278583,7.904279570141091e-5,12.483543831816228,1.7397762247871214e-31,0.9995086225487678,0.0001839213228975247,66
Eutrophication Potential - EP,SSO_LCI,-1.339139800919608e-6,2.684322859869224e-7,-4.988743421813457,8.285071312035976e-7,0.9995086225487678,0.0001839213228975247,66
Eutrophication Potential - EP,AE,-4.717974798441193e-5,8.41077270190304e-7,-56.094427535459296,2.07299317135109e-223,0.9995086225487678,0.0001839213228975247,66
Eutrophication Potential - EP,AH,-2.5815245568053065e-7,5.069348714826717e-7,-0.5092418576877383,0.610797489241919,0.9995086225487678,0.0001839213228975247,66
Eutrophication Potential - EP,CH4,-9.168340254420142e-6,0.0004742855077278867,-0.019330846304669975,0.9845845490854733,0.9995086225487678,0.0001839213228975247,66
Eutrophication Potential - EP,ng_LCI,1.0464513747065169e-5,9.747998862080668e-9,1073.503792431872,0.0,0.9995086225487678,0.0001839213228975247,66
Eutrophication Potential - EP,building,0.0,NaN,NaN,NaN,0.9995086225487678,0.0001839213228975247,66
Cumulative Energy Demand - CED,(Intercept),22.582705579421418,1.8154448751254044,12.43921304846091,2.6708766536947985e-31,0.9999904629103286,4.224281366321876,66
Cumulative Energy Demand - CED,SSO_LCI,-0.5966785554542613,0.006165318592146615,-96.77984138797152,0.0,0.9999904629103286,4.224281366321876,66
Cumulative Energy Demand - CED,AE,-11.930953494966328,0.019317755732217817,-617.6159208322575,0.0,0.9999904629103286,4.224281366321876,66
Cumulative Energy Demand - CED,AH,-0.982065131569543,0.01164321563134114,-84.3465553387181,1.1392780975394067e-306,0.9999904629103286,4.224281366321876,66
Cumulative Energy Demand - CED,CH4,-0.21061290980220085,10.893329198570754,-0.019334117785574135,0.9845819405572458,0.9999904629103286,4.224281366321876,66
Cumulative Energy Demand - CED,ng_LCI,1.2161584808394967,0.00022389079763504284,5431.9270541075,0.0,0.9999904629103286,4.224281366321876,66
Cumulative Energy Demand - CED,building,0.0,NaN,NaN,NaN,0.9999904629103286,4.224281366321876,66
Particulate Matter Formation Potentia - PMFP,(Intercept),0.00015058418871572224,1.2083844158666111e-5,12.46161293860518,2.1509618802306826e-31,0.9999927866844609,2.811739755978749e-5,66
Particulate Matter Formation Potentia - PMFP,SSO_LCI,-1.6233493001655961e-7,4.10371860235526e-8,-3.955800719946787,8.679853249876972e-5,0.9999927866844609,2.811739755978749e-5,66
Particulate Matter Formation Potentia - PMFP,AE,-4.893528844822529e-5,1.2858156860707455e-7,-380.5777840350042,0.0,0.9999927866844609,2.811739755978749e-5,66
Particulate Matter Formation Potentia - PMFP,AH,-1.1638934144262165e-5,7.749880215181577e-8,-150.18211664048886,0.0,0.9999927866844609,2.811739755978749e-5,66
Particulate Matter Formation Potentia - PMFP,CH4,-1.4014129583237057e-6,7.250745765303585e-5,-0.019327845764911183,0.9845869415778532,0.9999927866844609,2.811739755978749e-5,66
Particulate Matter Formation Potentia - PMFP,ng_LCI,1.3195742667346435e-5,1.4902471257875155e-9,8854.734519533595,0.0,0.9999927866844609,2.811739755978749e-5,66
Particulate Matter Formation Potentia - PMFP,building,0.0,NaN,NaN,NaN,0.9999927866844609,2.811739755978749e-5,66
Fossil Depletion Potential - FDP,(Intercept),0.24744724979276117,0.019889823269645873,12.44089735932414,2.62776932918703e-31,0.9999958306606838,0.04628078250329957,66
