Indicator,Variable,Coef,StdError,t,P,R2,RMSE
Eutrophication Potential - EP,Intercept,3.886391454327386e-6,2.4019722017425235e-10,16180.001798138974,0.0,0.9999999999999947,7.307798308926401e-10
Eutrophication Potential - EP,SSO_LCI,-5.242726019713855e-7,7.157196596155684e-13,-732511.1095215491,0.0,0.9999999999999947,7.307798308926401e-10
Eutrophication Potential - EP,AE,-3.759514760943489e-5,1.4449104330801603e-12,-2.6019015953322552e7,0.0,0.9999999999999947,7.307798308926401e-10
Eutrophication Potential - EP,AH,-1.0391017275399579e-5,1.4389447582952386e-12,-7.221276018761228e6,0.0,0.9999999999999947,7.307798308926401e-10
Eutrophication Potential - EP,ng_LCI,1.038935136294835e-5,2.7076697018744794e-14,3.837008389817989e8,0.0,0.9999999999999947,7.307798308926401e-10
Eutrophication Potential - EP,steel,0.6881653797838888,8.564480823708534e-8,8.035109120437075e6,0.0,0.9999999999999947,7.307798308926401e-10
Cumulative Energy Demand - CED,Intercept,0.008780783129227393,7.001418731009713e-7,12541.434052982384,0.0,1.0,2.10926515913428e-6
Cumulative Energy Demand - CED,SSO_LCI,-0.5779627805290818,2.086224406489401e-9,-2.7703768527070874e8,0.0,1.0,2.10926515913428e-6
Cumulative Energy Demand - CED,AE,-11.710815685402594,4.211715257761841e-9,-2.780533575678112e9,0.0,1.0,2.10926515913428e-6
Cumulative Energy Demand - CED,AH,-1.214795508663275,4.194326135959365e-9,-2.896282905252468e8,0.0,1.0,2.10926515913428e-6
Cumulative Energy Demand - CED,ng_LCI,1.214432160754498,7.892484914829e-11,1.5387196476900837e10,0.0,1.0,2.10926515913428e-6
Cumulative Energy Demand - CED,steel,15805.694457338584,0.0002496428410661271,6.331322937136364e7,0.0,1.0,2.10926515913428e-6
Particulate Matter Formation Potentia - PMFP,Intercept,3.2910324940999553e-7,7.173215842989247e-11,4587.945722163722,0.0,0.9999999999999997,2.1323637795328008e-10
Particulate Matter Formation Potentia - PMFP,SSO_LCI,-3.776021506624844e-8,2.1374150782297856e-13,-176662.99564762862,0.0,0.9999999999999997,2.1323637795328008e-10
Particulate Matter Formation Potentia - PMFP,AE,-4.747002071741419e-5,4.315060100509059e-13,-1.1001010324703017e8,0.0,0.9999999999999997,2.1323637795328008e-10
Particulate Matter Formation Potentia - PMFP,AH,-1.3188018442441015e-5,4.2972442936274153e-13,-3.0689478049917117e7,0.0,0.9999999999999997,2.1323637795328008e-10
Particulate Matter Formation Potentia - PMFP,ng_LCI,1.3184252045209217e-5,8.086146537823247e-15,1.6304740439144151e9,0.0,0.9999999999999997,2.1323637795328008e-10
Particulate Matter Formation Potentia - PMFP,steel,0.10520483295318535,2.5576844514285134e-8,4.1132842987893415e6,0.0,0.9999999999999997,2.1323637795328008e-10
Fossil Depletion Potential - FDP,Intercept,0.00012970182062044713,1.0501204536985114e-8,12351.137449388678,0.0,1.0,3.1660493926827867e-8
Fossil Depletion Potential - FDP,SSO_LCI,-0.018228599338067877,3.1290614151620844e-11,-5.825580555798596e8,0.0,1.0,3.1660493926827867e-8
Fossil Depletion Potential - FDP,AE,-0.12762536455357443,6.317017317848622e-11,-2.0203421667528312e9,0.0,1.0,3.1660493926827867e-8
Fossil Depletion Potential - FDP,AH,-0.028625603497305134,6.290935928949887e-11,-4.550293282367518e8,0.0,1.0,3.1660493926827867e-8
Fossil Depletion Potential - FDP,ng_LCI,0.02861700405316169,1.1837686271870245e-12,2.417449102462188e10,0.0,1.0,3.1660493926827867e-8
Fossil Depletion Potential - FDP,steel,173.16552768616913,3.744313311269986e-6,4.6247606247308224e7,0.0,1.0,3.1660493926827867e-8
Water Use,Intercept,6.3021517437302825e-6,5.230427836626933e-10,12049.017672318174,0.0,0.9999999999999998,1.6132161576162077e-9
Water Use,SSO_LCI,0.0006234794056078578,1.5585192984992356e-12,4.000459963557927e8,0.0,0.9999999999999998,1.6132161576162077e-9
Water Use,AE,-0.0013975120402651042,3.146372695376124e-12,-4.4416608443077105e8,0.0,0.9999999999999998,1.6132161576162077e-9
Water Use,AH,-3.7619371748153233e-6,3.133382107293264e-12,-1.2005995585597535e6,0.0,0.9999999999999998,1.6132161576162077e-9
Water Use,ng_LCI,3.761732331724731e-6,5.896101116741289e-14,6.380033614151786e7,0.0,0.9999999999999998,1.6132161576162077e-9
Water Use,steel,2.3362231711310057,1.8649632528671755e-7,1.2526912621679382e7,0.0,0.9999999999999998,1.6132161576162077e-9
Global Climate Change Potential - GCCP,Intercept,0.617892281734483,0.19155478522268787,3.2256687350105384,0.0013265611749226913,0.999911132754562,0.5861991844289617
Global Climate Change Potential - GCCP,SSO_LCI,-0.09191175554526948,0.0005707789856096414,-161.02862554951943,0.0,0.999911132754562,0.5861991844289617
Global Climate Change Potential - GCCP,AE,-0.35127190180226703,0.00115230104442466,-304.8438630702239,0.0,0.999911132754562,0.5861991844289617
Global Climate Change Potential - GCCP,AH,-0.04522701160251667,0.0011475434808221128,-39.412024344485445,0.0,0.999911132754562,0.5861991844289617
Global Climate Change Potential - GCCP,ng_LCI,0.06886946648822606,2.1593384295633203e-5,3189.37807734721,0.0,0.999911132754562,0.5861991844289617
Global Climate Change Potential - GCCP,steel,536.8344734756943,68.30084392896632,7.8598512491882015,1.84297022087776e-14,0.999911132754562,0.5861991844289617
Acidification Potential - AP,Intercept,3.999534316651888e-6,2.2141719423384886e-10,18063.34115329723,0.0,1.0,6.852721921343614e-10
Acidification Potential - AP,SSO_LCI,-1.005488022925483e-5,6.597605033693548e-13,-1.5240197280536192e7,0.0,1.0,6.852721921343614e-10
Acidification Potential - AP,AE,-0.000681120399502747,1.331938869982471e-12,-5.113751200246231e8,0.0,1.0,6.852721921343614e-10
Acidification Potential - AP,AH,-0.00015199411514415733,1.326439626603923e-12,-1.145880386077632e8,0.0,1.0,6.852721921343614e-10
Acidification Potential - AP,ng_LCI,0.00015195389894810072,2.4959682208899874e-14,6.087974104651001e9,0.0,1.0,6.852721921343614e-10
Acidification Potential - AP,steel,1.2208692455951244,7.894859535341202e-8,1.5464103447691811e7,0.0,1.0,6.852721921343614e-10
Smog Formation Potential - SFP,Intercept,0.00038970924423818156,0.0001101749081998299,3.5371869203770596,0.0004363037183552354,0.9999999777242872,0.00033716194681075663
Smog Formation Potential - SFP,SSO_LCI,-0.00010214483083673931,3.2829000992498345e-7,-311.14206265393244,0.0,0.9999999777242872,0.00033716194681075663
Smog Formation Potential - SFP,AE,-0.0236851321544721,6.627590203004672e-7,-35737.17056877514,0.0,0.9999999777242872,0.00033716194681075663
Smog Formation Potential - SFP,AH,-0.0013943678523927554,6.600226536127013e-7,-2112.606051868888,0.0,0.9999999777242872,0.00033716194681075663
Smog Formation Potential - SFP,ng_LCI,0.0014076984064423125,1.2419679987264868e-8,113344.17697442813,0.0,0.9999999777242872,0.00033716194681075663
Smog Formation Potential - SFP,steel,34.80160062404563,0.039284005362208524,885.8974614010466,0.0,0.9999999777242872,0.00033716194681075663
