index,time,dig_tfeed,dig_PSSO,SSO_mass_kg,AE_raw_MJ,AH_raw_MJ,ng_energy_MJ,steel_raw_const
2565,2018-01-08,92.0,48.86,194951.40000000002,54691.862278481014,234411.365721519,5.7060396608957555e6,0.0011293
2566,2018-01-09,85.0,0.53585,2138.0415000000003,42473.75426160339,252115.7104050633,102981.70130711727,0.0011293
2567,2018-01-10,72.0,61.68,246103.2,54179.57805907173,264375.08860759495,9.190114380662853e6,0.0011293
2568,2018-01-11,68.0,68.57,273594.3,51050.630886075945,259631.96511392406,1.0816463461393703e7,0.0011293
2573,2018-01-16,204.0,65.47,261225.30000000002,69294.56573839665,251187.6015949367,3.4432196759969504e6,0.0011293
2574,2018-01-17,206.0,70.61,281733.9,71476.53603375527,277854.8226329114,3.6747248033172702e6,0.0011293
2576,2018-01-19,62.0,71.99,287240.10000000003,54455.78767932491,270567.79298734176,1.2447473012070915e7,0.0011293
2579,2018-01-22,126.0,82.51,329214.9,11900.26329113925,231614.75670886078,7.071884099846131e6,0.0011293
2580,2018-01-23,184.0,40.50085,161598.3915,20846.176540084387,245414.2221265823,2.411743171567394e6,0.0011293
2581,2018-01-24,157.0,28.34123,113081.5077,28292.157974683552,244212.05402531647,1.9808224492551342e6,0.0011293
2582,2018-01-25,146.0,38.76329,154665.5271,48988.615696202534,266083.5003037975,2.86994527763546e6,0.0011293
2583,2018-01-26,162.0,61.59,245744.1,85083.04202531646,297890.76597468357,4.0618184741152576e6,0.0011293
2586,2018-01-29,155.0,82.17,327858.30000000005,62009.381603375536,213621.34706329115,5.688655665523276e6,0.0011293
2587,2018-01-30,148.0,78.36,312656.4,52419.250632911404,271120.7693670886,5.690841876805862e6,0.0011293
2588,2018-01-31,151.0,72.59,289634.10000000003,78032.15392405064,289323.75007594936,5.144466888701086e6,0.0011293
2589,2018-02-01,166.0,75.57,301524.3,107255.11054852321,320354.7327848101,4.843268110606476e6,0.0011293
2590,2018-02-02,171.0,17.729080000000003,70739.0292,95553.25097046414,306406.8196962025,1.0931004391161404e6,0.0011293
2593,2018-02-05,156.0,30.6612,122338.18800000001,61825.91324894516,276907.46541772154,2.1196285420051934e6,0.0011293
2595,2018-02-07,200.0,50.4,201096.0,93319.16725738396,311844.3880759494,2.682257030405462e6,0.0011293
2597,2018-02-09,158.0,34.61,138093.9,107133.41974683544,317697.48425316456,2.316242825431604e6,0.0011293
2601,2018-02-13,146.0,12.2,48678.0,78145.91628691983,295358.06837974687,894826.5818010343,0.0011293
2602,2018-02-14,143.0,9.84756,39291.7644,42805.998649789035,259209.2486835443,772024.5738053877,0.0011293
2603,2018-02-15,125.0,17.44629,69610.6971,44486.505991561186,261693.94334177216,1.5269153814680655e6,0.0011293
2604,2018-02-16,97.0,20.6011,82198.389,45730.049282700435,262060.1980506329,2.3047644282140466e6,0.0011293
2608,2018-02-20,128.0,21.72168,86669.5032,53496.961012658234,262863.33698734175,1.8405126375914547e6,0.0011293
2609,2018-02-21,97.0,22.079369999999997,88096.6863,59000.34666666668,276691.138,2.45488680979119e6,0.0011293
2610,2018-02-22,96.0,25.5825,102074.175,82483.88590717301,295356.58875949366,2.847798563072285e6,0.0011293
2611,2018-02-23,131.0,24.069209999999998,96036.1479,111057.05350210972,325754.02716455696,1.9345477314744869e6,0.0011293
2614,2018-02-26,140.0,20.06394,80055.1206,114120.92320675106,318586.90012658224,1.499076204315834e6,0.0011293
2615,2018-02-27,132.0,17.21044,68669.6556,117577.57198312238,342265.93268354435,1.3573414676784808e6,0.0011293
2616,2018-02-28,152.0,15.35848,61280.3352,94916.46886075952,315094.15713924053,1.0655150078096506e6,0.0011293
2618,2018-03-02,152.0,39.24105,156571.7895,93447.0936708861,306891.91632911394,2.7480932731650546e6,0.0011293
2622,2018-03-06,156.0,18.84477,75190.63230000001,84450.22413502111,304889.5685316456,1.2871136342785235e6,0.0011293
2625,2018-03-09,189.0,18.75302,74824.54980000001,75375.80590717301,306196.4107594937,1.0650906200667445e6,0.0011293
